truck_id,time_min,hour_of_shift,shovel_queue_len,wait_shovel_min,load_time_min,haul_time_min,dump_queue_len,wait_dump_min,dump_time_min,return_time_min,total_cycle_time_min
Truck_4,531.7253867207287,8,0,0.0,4.1266293495827995,16.386834252673566,0,0.0,3.3091467406754873,9.500545282792359,33.32315562572421
Truck_9,532.0249842920866,8,0,0.0,5.751268506514407,14.184255638137302,0,0.0,2.087060547647752,13.381919213251422,35.40450390555088
Truck_2,535.9715299753226,8,0,0.0,4.344149382635237,19.73404151765692,0,0.0,3.1983842077307827,12.259252568918328,39.53582767694127
Truck_3,549.7521100243251,9,0,0.0,3.9835437938453424,13.69557287823136,0,0.0,3.446919419923347,9.452862634420285,30.578898726420334
Truck_1,557.5501265340381,9,0,0.0,6.030107827829966,10.155917342937755,0,0.0,3.159964167473049,11.071803618458944,30.417792956699714
Truck_6,551.4201744466377,9,0,0.0,3.7954078036947294,19.252740478920032,0,0.0,2.2359440417744736,11.419702632057692,36.70379495644693
Truck_8,558.483248828992,9,0,0.0,4.93749191397751,13.791467780609537,0,0.0,2.6125486000601086,11.192322326125577,32.53383062077273
Truck_0,559.4852773980348,9,0,0.0,5.202595401733106,10.220222566843404,0,1.7961714044156452,2.7332759676334035,11.70593040192307,31.658195742548628
Truck_7,557.8207876299109,9,0,0.0,3.450106214043444,19.123099857245734,0,0.0,3.4108588490773855,10.44206721186481,36.42613213223137
Truck_4,565.0485423464529,9,0,0.0,5.4465971092761265,12.419509224673561,0,0.0,2.886524633980457,11.672276772853479,32.424907740783624
Truck_5,515.1254686654074,8,0,0.0,5.7982651568665915,16.835808828699555,0,0.0,2.2892405589798273,11.168421327903957,88.04668430839331
Truck_9,567.4294881976375,9,0,0.0,5.675656308810517,19.243986700676373,0,0.0,3.6419722931619845,10.742109377564475,39.30372468021335
Truck_2,575.5073576522639,9,0,0.0,6.126260433668335,12.637101338120942,0,0.0,2.709937355444481,14.508864768093531,35.98216389532729
Truck_6,588.1239694030846,9,0,0.0,5.910247180252327,10.056769268816197,0,0.0,3.4758479948295644,8.393109258800223,27.83597370269831
Truck_3,580.3310087507455,9,0,0.0,5.401489246391407,15.506256736558726,0,0.0,2.2301971144374875,14.75474021602463,37.89268331341225
Truck_0,591.1434731405834,9,0,0.0,6.0181604781149645,10.918195634776566,0,0.0,3.1933720809772694,12.633785429295472,32.76351362316427
Truck_8,591.0170794497648,9,0,0.0,3.895610177990875,18.78668002803579,0,0.0,3.2616145465646014,10.579603307050888,36.523508059642154
Truck_1,587.9679194907378,9,0,0.0,5.842032532682879,18.879808986296098,0,0.0,3.666060697274361,13.233935881106504,41.62183809735984
Truck_4,597.4734500872365,9,0,0.0,5.465840288068534,10.921472796707349,0,2.495058534978739,3.150025410034573,12.619353059660853,34.65175008945005
Truck_7,594.2469197621423,9,0,0.0,5.205136980683278,16.81505581611202,1,0.6938716434184471,3.2591942473931113,13.382257903965638,39.355516591572496
Truck_5,603.1721529738007,10,0,0.0,5.528825950256191,13.7982224464713,0,0.0,3.330922143984594,10.862668488166605,33.52063902887869
Truck_9,606.7332128778509,10,0,0.0,4.813880284924835,14.482365774426967,0,0.0,2.263450399775934,12.507998530429859,34.067694989557594
Truck_2,611.4895215475912,10,0,0.0,5.540019356831522,10.866551855070838,0,0.0,2.4002512610318263,11.184617549167228,29.991440022101415
Truck_6,615.9599431057829,10,0,0.0,4.09818527325865,15.155942478434554,0,0.0,2.852471662507355,13.54731004588109,35.65390946008165
Truck_3,618.2236920641577,10,0,0.0,5.333960069350951,11.939935594253484,0,0.0,2.9938035492921244,14.395156176243631,34.66285538914019
Truck_0,623.9069867637477,10,0,0.0,5.194487748559823,17.35018567021882,0,0.0,3.3329937415848008,10.584149694651614,36.46181685501506
Truck_7,633.6024363537148,10,0,0.0,4.811388101823923,11.748818134198473,0,0.0,1.7609260175225927,10.690974464749843,29.01210671829483
Truck_5,636.6927920026794,10,0,0.0,6.049919606710773,10.85811246236915,0,1.0974345701589527,3.101315887145347,9.49066018644612,30.597442712830343
Truck_1,629.5897575880977,10,0,0.0,4.182833131953771,19.669139056402855,0,0.0,2.6952951211526397,11.230159755539603,37.77742706504887
Truck_8,627.5405875094069,10,0,0.0,4.470434047613367,19.1951163066567,0,0.0,3.492120778241315,13.384887647299138,40.54255877981052
Truck_9,640.8009078674085,10,0,0.0,3.4106675153597052,12.129112778907597,0,1.4588863673878905,3.7364380232905887,9.09807120254277,29.83317588748855
Truck_4,632.1252001766866,10,0,0.0,5.92476033627463,17.788938059074553,0,0.29812632557116103,2.754406955323134,12.106480321261643,38.87271199750512
Truck_2,641.4809615696926,10,0,0.0,6.066717745015694,19.32748716760034,0,0.0,3.4208341609161153,11.71562311613161,40.53066218966376
Truck_3,652.8865474532979,10,0,0.0,5.36214006312548,12.997295146888632,0,0.0,3.221555870981888,9.81848010576141,31.39947118675741
Truck_6,651.6138525658646,10,0,0.0,3.6523358853693253,17.66695321767304,0,0.0,2.604953405864194,14.500665830364028,38.42490833927059
Truck_7,662.6145430720096,11,0,0.0,2.5934552144417466,16.09904615887058,0,0.0,3.4807926089787316,8.7510414298863,30.924335412177356
Truck_0,660.3688036187627,11,0,0.0,5.448738923947758,13.884921372411668,0,0.0,3.824440596514364,11.885747092175848,35.04384798504964
Truck_5,667.2902347155098,11,0,0.0,5.654964422550961,10.517459734655063,0,0.0642456389207382,2.6748969936018057,12.726668038320213,31.63823482804878
Truck_8,668.0831462892174,11,0,0.0,4.776176281287917,15.144303970682358,0,0.0,1.336487495615529,13.519680334096847,34.77664808168265
Truck_1,667.3671846531465,11,0,0.0,2.918247107100342,19.540291870639862,0,0.0,2.6244451554588295,10.754505056681069,35.8374891898801
